UMAP1,UMAP2,cell_type,distance_bin,plaque_distance
1.5234008,1.0811731,Astrocyte,>200um (far),959.0771979975376
0.20654239,2.348423,Microglia,50-100um,65.03817357938682
3.7105777,-1.2887168,Oligodendrocyte,>200um (far),346.7178073890098
-2.0648932,0.48430306,Oligodendrocyte,>200um (far),722.6680993523453
3.4117799,1.086746,Astrocyte,>200um (far),830.2650813859558
5.77561,2.322304,Microglia,>200um (far),723.2338565653398
6.240444,1.6702218,Neuron,>200um (far),1902.541835900606
1.9044456,1.3222392,Microglia,>200um (far),1007.1556289333598
1.7331809,1.0380408,Microglia,>200um (far),1088.5720686907102
3.4842227,-1.321402,Oligodendrocyte,>200um (far),976.0374384270514
1.5466003,2.2777677,Astrocyte,>200um (far),493.92457243784906
-0.027278874,0.9554835,Neuron,>200um (far),408.2153495372984
3.2132905,2.6891313,Microglia,>200um (far),561.905369717386
5.0042524,3.4518251,Microglia,>200um (far),891.2465835708693
3.8992891,2.6256645,Neuron,>200um (far),455.6945709834892
2.5214078,1.8332572,Microglia,>200um (far),373.709297258983
0.4688269,2.4970186,Microglia,0-50um (near),2.4447838713356087
3.2527645,2.9188817,Microglia,>200um (far),743.557349276739
4.550045,0.04969753,Neuron,>200um (far),713.5919830159046
4.3175225,2.3478186,Neuron,>200um (far),816.5481622092925
0.59136933,1.9149822,Microglia,100-200um,120.40907585741861
4.603352,1.2707576,Astrocyte,>200um (far),1160.4099716046373
1.9464581,2.7338545,Microglia,>200um (far),580.5989531203285
5.365767,1.0455314,Microglia,>200um (far),391.6615426734186
0.9212284,-0.0014982696,Astrocyte,>200um (far),977.7658856653863
1.8689171,-0.18354167,Microglia,>200um (far),1368.316306621145
3.0409393,3.9189727,Microglia,>200um (far),601.5551748610677
2.3975444,0.604672,Astrocyte,>200um (far),549.0362877376816
4.324372,1.0281866,Oligodendrocyte,>200um (far),950.3352261787892
2.6713517,2.237646,Microglia,>200um (far),983.2493980432935
2.598423,2.2346642,Astrocyte,>200um (far),403.1872274646135
6.2028885,1.5665722,Neuron,>200um (far),537.3517393455984
-0.39231443,1.1166108,Microglia,>200um (far),858.6407453594826
0.22278425,0.6304121,Oligodendrocyte,>200um (far),1038.8170321646048
4.702302,1.5152378,Neuron,>200um (far),1236.4953522444164
2.3676274,-1.9113514,Oligodendrocyte,>200um (far),704.3482952492257
4.928115,3.483253,Neuron,>200um (far),271.73521507797057
2.488711,0.76261723,Astrocyte,>200um (far),695.9174875287224
4.900981,2.153338,Neuron,>200um (far),472.81187963031425
4.7781377,-0.55528677,Neuron,>200um (far),351.2155127125339
-1.9812965,0.17155677,Oligodendrocyte,>200um (far),1225.8081178964367
2.343586,-0.8955943,Microglia,>200um (far),1031.4155602332687
5.1149945,2.712783,Neuron,>200um (far),1196.5647105988087
1.2226895,0.630652,Microglia,>200um (far),834.9054982287878
5.7780056,1.4041873,Neuron,>200um (far),420.8463923846476
3.343083,1.2655482,Microglia,>200um (far),506.27717682383206
0.025229922,0.1374843,Oligodendrocyte,>200um (far),530.8467162535378
4.8100142,0.56648964,Astrocyte,>200um (far),322.54058609293895
2.940261,3.2323575,Neuron,>200um (far),410.44446737594564
0.20420237,-0.1818153,Astrocyte,100-200um,141.95861625741907
-1.3871529,0.44223937,Neuron,>200um (far),1824.7288612631532
2.55188,-0.5315813,Neuron,>200um (far),705.3963208918024
-0.38227847,1.0107011,Oligodendrocyte,>200um (far),957.3238448126162
0.40473694,1.5471934,Microglia,>200um (far),249.44254320780712
3.1018407,2.6697013,Microglia,>200um (far),1350.9156897124205
5.022144,1.303779,Oligodendrocyte,>200um (far),456.3031138585804
4.5055637,-0.6275083,Microglia,>200um (far),831.5816682255967
2.6262074,1.671204,Astrocyte,>200um (far),502.01036916800183
3.10972,3.1948793,Neuron,>200um (far),926.8516897114587
-0.103411615,0.45004326,Oligodendrocyte,100-200um,126.32758470016614
-2.606365,0.7052606,Neuron,>200um (far),1026.326163702931
2.3724475,-0.81751263,Microglia,>200um (far),242.75457585758627
1.9892526,2.971113,Neuron,>200um (far),335.04759563621525
0.27802902,0.11351771,Astrocyte,>200um (far),754.458502435069
4.635324,-0.49866006,Astrocyte,>200um (far),500.5545236833
4.852661,1.2007784,Neuron,>200um (far),379.06875801261464
2.9849803,-0.8909915,Neuron,>200um (far),1211.5114572175232
1.8158691,-0.7737397,Oligodendrocyte,>200um (far),896.3810852292423
3.141997,3.0539145,Neuron,>200um (far),435.83508775657054
4.638016,2.8940027,Astrocyte,>200um (far),409.93758217220517
4.2646303,0.39014047,Microglia,>200um (far),647.0021131648931
-0.49661827,-0.75042266,Oligodendrocyte,>200um (far),1149.3649827720076
3.7208006,-0.20619562,Oligodendrocyte,>200um (far),973.5327111652219
5.1110573,0.5172391,Astrocyte,>200um (far),976.3836158078983
2.0207183,-2.0083401,Astrocyte,>200um (far),819.0316885140514
6.577158,1.548856,Neuron,>200um (far),796.7448429968941
3.6125524,2.628845,Microglia,>200um (far),457.2004263669094
